"Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,Inventory_Turnover,Stock_Utilization,Delivery_Efficiency,Total_Cost,Estimated_Profit,Demand_Gap,Risk_Score"
"WH239,Dallas,3926,484,8,3,7,93895,S693,Groceries,4893,4.766230718764152,6.053951997842127,3.840976300612479,28701,16975,2778,228,26,83,1.2463066734589914,0.13678965889690256,7.766230718764152,113648,-108755,-3442,39.05395199784213"
"WH244,Houston,3032,5122,3,6,25,46847,S880,Electronics,4453,4.3043353239038735,3.8869957959395016,2.113928974421545,36198,14052,1535,288,16,39,1.4686675461741425,0.08376153378639704,10.304335323903874,62434,-57981,2090,44.8869957959395"
"WH340,Chicago,4763,4343,5,5,16,64176,S116,Furniture,5956,1.030779123572021,7.335160144687795,4.211437108477245,22784,9863,13435,153,3,49,1.2504723913499896,0.2090502106741573,6.030779123572021,87474,-81518,-420,26.335160144687794"
"WH428,Atlanta,2219,777,7,6,15,38940,S431,Apparel,5814,2.871244047490718,1.393481491074176,1.75167148929249,13172,15911,14508,143,39,35,2.6200991437584498,0.16846340722745218,8.871244047490718,69359,-63545,-1442,55.393481491074176"
"WH202,Dallas,809,4756,2,7,16,33933,S821,Electronics,2279,4.060930355752779,4.212666134979816,4.231919058684772,39619,19011,1904,296,30,67,2.8170580964153276,0.02041949569650925,11.06093035575278,54848,-52569,3947,50.21266613497981"
"WH211,San Francisco,3840,666,9,1,19,30165,S459,Automotive,1326,0.6600062771781208,2.4114358026966034,1.1109878521328849,32490,9766,807,181,17,20,0.3453125,0.11819021237303785,1.6600062771781208,40738,-39412,-3174,38.4114358026966"
"WH008,Atlanta,4757,4776,7,7,12,38284,S655,Apparel,6186,3.0847965356528952,4.195065786911762,1.0104315934628012,19414,6995,8901,237,25,94,1.3003994113937356,0.24502936025548575,10.084796535652895,54180,-47994,19,41.19506578691176"
"WH438,Atlanta,4803,2432,9,5,20,45299,S845,Electronics,5539,2.433819850658695,6.010138788250456,2.4498315534415,42401,17954,13519,172,9,91,1.153237559858422,0.1132756302917384,7.433819850658695,76772,-71233,-2371,35.01013878825046"
"WH106,New York,1401,2940,10,6,22,36265,S456,Apparel,1822,1.2916557112728806,3.147317563356474,4.739126956890537,18053,17284,773,205,17,78,1.3004996431120628,0.07760483022212375,7.291655711272881,54322,-52500,1539,42.147317563356474"
"WH099,New York,4213,3732,5,7,20,57333,S569,Electronics,4608,3.099240002721201,3.218993567473094,2.698892569190911,31286,5653,7017,97,44,58,1.0937574175172087,0.13466087067698013,10.099240002721201,70003,-65395,-481,67.21899356747309"
"WH366,Los Angeles,1670,1713,10,2,20,71498,S813,Apparel,2147,0.7200289387458421,3.94978986646152,1.610447554524986,37590,19542,13230,123,15,90,1.2856287425149702,0.0444267092311785,2.720028938745842,104270,-102123,43,38.949789866461515"
"WH286,Los Angeles,2208,1339,8,1,15,95778,S560,Automotive,5219,3.624469253168056,5.915695635401246,4.205013314821327,26580,13840,12534,160,31,34,2.3636775362318843,0.08306997742663656,4.624469253168056,122152,-116933,-869,51.91569563540125"
"WH023,San Francisco,2635,4395,10,7,23,73077,S603,Groceries,8989,3.6185995041749854,9.459499629543489,2.0187091127591867,36191,7937,14852,54,4,78,3.411385199240987,0.07280815672404742,10.618599504174986,95866,-86877,1760,36.45949962954349"
"WH428,Seattle,1799,484,5,3,25,57671,S469,Apparel,4671,2.128322844311441,7.933189235079049,1.4774264053473645,34452,18186,14587,253,36,94,2.596442468037799,0.052217578079647047,5.128322844311441,90444,-85773,-1315,68.93318923507906"
"WH080,Seattle,4041,2603,7,4,8,92226,S103,Furniture,4073,4.151248720547726,7.02251724642419,1.4197695355080584,38531,15308,4244,194,49,93,1.007918831972284,0.10487659287327088,8.151248720547727,111778,-107705,-1438,64.02251724642419"
"WH191,Seattle,848,4701,7,5,21,93258,S136,Groceries,9842,2.211782892403385,5.227020681668493,3.992986904463386,11429,12498,5777,175,5,64,11.606132075471699,0.07419721760433984,7.211782892403384,111533,-101691,3853,31.227020681668492"
"WH049,Dallas,4357,4984,2,5,24,40932,S759,Automotive,3420,1.0055867631751922,3.931769230214336,2.256984920583489,42128,2181,8725,122,3,53,0.7849437686481524,0.10342290163311811,6.0055867631751925,51838,-48418,627,30.931769230214336"
"WH233,New York,2443,5093,6,5,22,80137,S201,Apparel,7676,3.38818925346934,1.0295708446586591,1.3830311064828682,32242,6179,2251,34,50,58,3.1420384772820302,0.07577073382544507,8.38818925346934,88567,-80891,2650,73.02957084465865"
"WH101,Chicago,4929,2198,7,2,7,59285,S406,Apparel,7953,2.076502400422968,6.961396945958712,3.456670588392209,42598,7843,6764,159,21,17,1.613511868533171,0.11570965773040988,4.076502400422968,73892,-65939,-2731,34.96139694595871"
"WH207,Miami,1463,4048,5,3,17,77723,S637,Furniture,2765,2.9049574786180954,2.4361907473894533,2.0412976291377984,30536,18584,14848,270,8,94,1.8899521531100478,0.047910662824207494,5.904957478618096,111155,-108390,2585,27.436190747389453"
